1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\1.pgm
1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\2.pgm
1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\3.pgm
1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\4.pgm
1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\6.pgm
1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\7.pgm
1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\8.pgm
1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\9.pgm
1 s1 C:\Code\CS6420\Cambridge_FaceDB\s1\10.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\1.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\2.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\3.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\4.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\6.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\7.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\8.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\9.pgm
2 s2 C:\Code\CS6420\Cambridge_FaceDB\s2\10.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\1.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\2.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\3.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\4.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\6.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\7.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\8.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\9.pgm
3 s3 C:\Code\CS6420\Cambridge_FaceDB\s3\10.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\1.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\2.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\3.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\4.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\6.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\7.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\8.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\9.pgm
4 s4 C:\Code\CS6420\Cambridge_FaceDB\s4\10.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\1.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\2.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\3.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\4.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\6.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\7.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\8.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\9.pgm
5 s5 C:\Code\CS6420\Cambridge_FaceDB\s5\10.pgm
